query	title	url	snippet	published_at
めっき 表面技術協会 基礎	めっき部会｜表面技術協会	https://mekki.sfj.or.jp/	めっきとは何か、対象材料、電気的または化学的手法の概説。	
めっき 防食 基礎 ORIST PDF	防錆・防食のための めっきの基礎知識	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	防食めっき、膜厚、防錆挙動の基礎。	
plating ASTM B08 scope	ASTM Committee B08 Scope	https://www.astm.org/membership-participation/technical-committees/committee-b08/scope-b08	電気めっき、無電解、浸せき、ホットディップ、拡散コーティング等の範囲。	
nickel plating handbook Nickel Institute	Nickel Plating Handbook	https://nickelinstitute.org/en/resources/publications/nickel-plating-handbook-en/	ニッケルめっきの用途、性能、工程管理の総説。	
electroless nickel properties applications	Properties and Applications of Electroless Nickel	https://nickelinstitute.org/en/resources/technical-guides/properties-and-applications-of-electroless-nickel-10081/	無電解ニッケルの特性と用途。	
溶融亜鉛めっき 日本鉄鋼連盟	日本鉄鋼連盟 亜鉛めっき鋼板	https://www.jisf.or.jp/business/tech/aen/index.html	溶融亜鉛めっき鋼板の基礎と用途。	
JFS 自動車 防錆 規格	JFS	https://www.jisf.or.jp/business/standard/jfs/	自動車向け防錆鋼板規格の紹介。	
JEITA 電子部品 部会	JEITA 電子部品部会	https://home.jeita.or.jp/ecb/about/part.html	電子部品分野の対象範囲と構成。	
JEITA 信頼性評価 ガイド	JEITA 信頼性評価ガイド	https://home.jeita.or.jp/page_file/20200526181633_4fCp1lxIJG.pdf	電子部品の信頼性評価で確認する観点。	
IPC 4552 ENIG	IPC-4552	https://www.ipc.org/TOC/IPC-4552wAm-1-2.pdf	ENIG の要求事項、膜厚、品質評価。	
IPC 6012F rigid printed boards	IPC-6012F release	https://www.electronics.org/news-release/ipc-releases-ipc-6012f-qualification-and-performance-specification-rigid-printed	リジッド基板の qualification/performance 仕様改訂。	
IPC microvia reliability warning	IPC issues electronics industry warning on microvia reliability	https://www.ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	microvia reliability の業界警告。	
JCU 表面処理技術 事業戦略 PDF	表面処理技術から未来を創造する	https://www.jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf	自動車、電子、建築など用途別の薬品・工程例。	
METI めっき 用途分類 PDF	METI	https://www.meti.go.jp/policy/chemical_management/kasinhou/files/information/ra/use_category_002.pdf	用途分類としてのめっき・表面処理。	
METI PRTR めっき 手引き	METI PRTR 手引き	https://www.meti.go.jp/policy/chemical_management/law/prtr/pdf/r5_haishutsu_sanshutsu_manual/3-1.pdf	PRTR 集計時のめっき工程の扱い。	
六価クロム 環境基準 2022 環境省	環境省 2022-04-01 告示	https://www.env.go.jp/press/110052.html	公共用水域の六価クロム環境基準改正。	2022-04-01
六価クロム 一般排水基準 環境省	環境省 一般排水基準	https://www.env.go.jp/water/impure/haisui.html	一般排水基準の一覧。	
JIS K0102-3 六価クロム 2024 環境省	環境省 2024-02-05 公布	https://www.env.go.jp/press/press_02720.html	六価クロム測定法見直し。	2024-02-05
暫定排水基準 電気めっき 2024 環境省	環境省 2024-12-11 暫定基準延長	https://www.env.go.jp/press/press_03960.html	亜鉛の電気めっき業の暫定排水基準延長。	2024-12-11
下水道 除害施設 六価クロム 国交省	国交省 除害施設	https://www.mlit.go.jp/mizukokudo/sewerage/mizukokudo_sewerage_tk_000637.html	下水道への排除基準と除害施設の考え方。	
OSHA chromium VI 1910.1026	OSHA 29 CFR 1910.1026	https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026	Chromium(VI) standard, PEL, action level, exposure control.	
EPA electroplating effluent guidelines	EPA Electroplating Effluent Guidelines	https://www.epa.gov/eg/electroplating-effluent-guidelines	40 CFR Part 413/433 の概要。	
EPA chromium finishing questionnaire PFAS	EPA Chromium Finishing Questionnaire	https://www.epa.gov/eg/chromium-finishing-questionnaire	chrome finishing facilities 向け質問票。	
RoHS directive official EU	European Commission RoHS Directive	https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en	RoHS の official overview。	
ECHA Annex XVII nickel release	ECHA Annex XVII conditions	https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	nickel release 条件と制限。	

