claim_id	section	claim_kind	risk_level	claim_text	evidence_summary	evidence_urls	source_urls	source_domains	evidence_count	primary_source_count	source_role	confidence	status	required_fix	required_evidence_count	required_primary_count	gap_note	exact_date	jurisdiction	regulated_subject	scope	effective_date	transition_period	tone_guidance	tone_reason	caveat
claim-001	## 1. 要約	fact	high	めっきは装飾だけの話ではなく、実務では防食、導電、接触信頼性、はんだ付け性、拡散バリア、耐摩耗などの機能付与が中心です。表面技術協会 ORIST ASTM B08 Scope	inline citation context	https://mekki.sfj.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf | https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08	https://mekki.sfj.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf | https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08	mekki.sfj.or.jp | www2.orist.jp | astm.org	3	3	professional_body | government_context | standards_body	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	
claim-002	## 1. 要約	advice	high	読み手が最初に切り分けるべきなのは「電気めっき」「無電解めっき」「溶融めっき」と、隣接する乾式表面処理を同じものとして扱わないことです。要求性能、基材、量産条件、規制対応がそれぞれ違います。ASTM B08 Scope 日本鉄鋼連盟 Nickel Institute	inline citation context	https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08 | https://jisf.or.jp/business/tech/aen/index.html | https://nickelinstitute.org/en/resources/technical-guides/properties-and-applications-of-electroless-nickel-10081	https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08 | https://jisf.or.jp/business/tech/aen/index.html | https://nickelinstitute.org/en/resources/technical-guides/properties-and-applications-of-electroless-nickel-10081	astm.org | jisf.or.jp | nickelinstitute.org	3	1	standards_body | industry_association	0.95	ok		2	1			Japan					standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees
claim-003	## 1. 要約	fact	high	品質面で見落としやすいのは、前処理、膜厚不均一、密着不良、ピット/ブリスター、水素脆化、接触抵抗、はんだ付け性、PCB/HDI に限定される microvia reliability です。ORIST IPC-4552 IPC microvia warning	inline citation context	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf | https://ipc.org/TOC/IPC-4552wAm-1-2.pdf | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf | https://ipc.org/TOC/IPC-4552wAm-1-2.pdf | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	www2.orist.jp | ipc.org	3	3	government_context | standards_body	0.95	ok		2	1				microvia reliability				standard	official, legal, standards, academic, or public-context support is present	scope-limited claim
claim-004	## 1. 要約	temporal	high	規制面では、日本の六価クロム関連だけでも「環境基準」「一般排水基準」「測定法改正」「暫定排水基準」「公共用水域と下水道の区別」を分けて説明する必要があります。海外では OSHA の作業者ばく露、EPA の electroplating/chromium rules、EU の RoHS と REACH を混同しないことが重要です。環境省 2022-04-01 告示 環境省 一般排水基準 環境省 2024-02-05 公布 OSHA 29 CFR 1910.1026 European Commission RoHS Directive ECHA Annex XVII conditions	inline citation context	https://env.go.jp/press/110052.html | https://env.go.jp/water/impure/haisui.html | https://env.go.jp/press/press_02720.html | https://osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026 | https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en | https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	https://env.go.jp/press/110052.html | https://env.go.jp/water/impure/haisui.html | https://env.go.jp/press/press_02720.html | https://osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026 | https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en | https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	env.go.jp | osha.gov | environment.ec.europa.eu | echa.europa.eu	6	6	official_regulator | legal_text	0.95	ok		2	1		2022-04-01 | 2024-02-05	EU	hexavalent chromium	public water bodies	2022-04-01	temporary transitional measure	standard	official, legal, standards, academic, or public-context support is present	
claim-005	## 1. 要約	advice	medium	今回は個別製品の受入規格値や各社固有の工程窓ではなく、方式差、用途差、品質/EHS リスク、実務判断の共通論点を先に整理します。ASTM B08 Scope IPC-4552	inline citation context	https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08 | https://ipc.org/TOC/IPC-4552wAm-1-2.pdf	https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08 | https://ipc.org/TOC/IPC-4552wAm-1-2.pdf	astm.org | ipc.org	2	2	standards_body	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	
claim-006	## 2. 主要な発見	fact	medium	方式選定は「めっき種の名前」ではなく、基材、要求性能、使用環境、量産条件、EHS 条件から逆算した方が失敗しにくいです。ASTM B08 Scope Nickel Plating Handbook	inline citation context	https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08 | https://nickelinstitute.org/en/resources/publications/nickel-plating-handbook-en	https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08 | https://nickelinstitute.org/en/resources/publications/nickel-plating-handbook-en	astm.org | nickelinstitute.org	2	1	standards_body | industry_association	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees
claim-007	## 2. 主要な発見	fact	high	自動車や建材では防食と耐久が先に来やすく、電子部品や PCB では接触抵抗、はんだ付け性、微細配線対応が先に来ます。同じ「めっき」でも評価軸が違います。JFS JEITA 電子部品部会 IPC-4552	inline citation context	https://jisf.or.jp/business/standard/jfs | https://home.jeita.or.jp/ecb/about/part.html | https://ipc.org/TOC/IPC-4552wAm-1-2.pdf	https://jisf.or.jp/business/standard/jfs | https://home.jeita.or.jp/ecb/about/part.html | https://ipc.org/TOC/IPC-4552wAm-1-2.pdf	jisf.or.jp | home.jeita.or.jp | ipc.org	3	1	industry_association | standards_body	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees
claim-008	## 2. 主要な発見	advice	high	公開資料の範囲では、job plater、OEM の自社ライン、薬品メーカー、装置メーカー、規制当局、標準団体はそれぞれ見ている指標が違います。情報の立場を混ぜると判断を誤りやすいです。METI PRTR 手引き JCU 表面処理技術資料 JEITA 信頼性評価ガイド	inline citation context	https://meti.go.jp/policy/chemical_management/law/prtr/pdf/r5_haishutsu_sanshutsu_manual/3-1.pdf | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://home.jeita.or.jp/page_file/20200526181633_4fCp1lxIJG.pdf	https://meti.go.jp/policy/chemical_management/law/prtr/pdf/r5_haishutsu_sanshutsu_manual/3-1.pdf | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://home.jeita.or.jp/page_file/20200526181633_4fCp1lxIJG.pdf	meti.go.jp | jcu-i.com | home.jeita.or.jp	3	1	legal_text | vendor_first_party | industry_association	0.95	ok		2	1			Japan					standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees
claim-009	## 2. 主要な発見	advice	high	高強度鋼、ばね材、締結部品では、水素脆化とベーキング条件の確認を抜くと重大事故につながります。これは装飾用途の話ではありません。JCU 表面処理技術資料 ASTM B849 ASTM F519	inline citation context	https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://store.astm.org/Standards/B849.htm | https://store.astm.org/f0519-17a.html	https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://store.astm.org/Standards/B849.htm | https://store.astm.org/f0519-17a.html	jcu-i.com | store.astm.org	3	2	vendor_first_party | standard_or_code | standards_body	0.95	ok		2	1					high-strength steel components			standard	official, legal, standards, academic, or public-context support is present	
claim-010	## 2. 主要な発見	fact	high	PCB/HDI 文脈では、surface finish の選択と microvia reliability を別に考えず、finish、穴埋め、銅めっき、実装条件を一体で見た方が安全です。IPC-4552 IPC-6012F IPC microvia warning	inline citation context	https://ipc.org/TOC/IPC-4552wAm-1-2.pdf | https://electronics.org/news-release/ipc-releases-ipc-6012f-qualification-and-performance-specification-rigid-printed | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	https://ipc.org/TOC/IPC-4552wAm-1-2.pdf | https://electronics.org/news-release/ipc-releases-ipc-6012f-qualification-and-performance-specification-rigid-printed | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	ipc.org | electronics.org	3	3	standards_body | standard_or_code	0.95	ok		2	1				microvia reliability				standard	official, legal, standards, academic, or public-context support is present	scope-limited claim
claim-011	## 2. 主要な発見	temporal	high	日本の六価クロムは、2022-04-01 の環境基準改正、2024-02-05 公布・2024-04-01 施行の測定法改正、一般排水基準 0.2 mg Cr(VI)/L を分けて理解する必要があります。環境省 2022-04-01 告示 環境省 2024-02-05 公布 環境省 一般排水基準	inline citation context	https://env.go.jp/press/110052.html | https://env.go.jp/press/press_02720.html | https://env.go.jp/water/impure/haisui.html	https://env.go.jp/press/110052.html | https://env.go.jp/press/press_02720.html | https://env.go.jp/water/impure/haisui.html	env.go.jp	3	3	official_regulator	0.95	ok		2	1		2022-04-01 | 2024-02-05 | 2024-04-01	Japan	hexavalent chromium		2022-04-01		standard	official, legal, standards, academic, or public-context support is present	
claim-012	## 2. 主要な発見	temporal	high	2024-12-11 時点の一次情報では、暫定排水基準の延長対象は亜鉛の電気めっき業であり、六価クロムの暫定基準をそのまま説明するのは不正確です。環境省 2024-12-11 暫定基準延長	inline citation context	https://env.go.jp/press/press_03960.html	https://env.go.jp/press/press_03960.html	env.go.jp	1	1	official_regulator	0.85	ok		2	1		2024-12-11	Japan	hexavalent chromium		2024-12-11	temporary transitional measure	standard	official, legal, standards, academic, or public-context support is present	
