claim_id	section	claim_kind	risk_level	claim_text	evidence_summary	evidence_urls	source_urls	source_domains	evidence_count	primary_source_count	source_role	confidence	status	required_fix	required_evidence_count	required_primary_count	gap_note	exact_date	jurisdiction	regulated_subject	scope	effective_date	transition_period	tone_guidance	tone_reason	caveat
claim-001	## 1. まず押さえる結論	scope	medium	めっきは、狭義には電気的または化学的反応で基材表面に金属皮膜を形成する湿式表面処理であり、金属だけでなく一部の非金属基材にも適用されます。一方で、実務や営業表現では蒸着やスパッタ等の乾式法まで「広義のめっき」と呼ぶ例もあるため、レポートでは狭義の湿式めっきを主対象とし、乾式法は隣接概念として扱うのが安全です。表面技術協会 富士電機 アルバックテクノ	inline citation context	https://mekki.sfj.or.jp/ | https://fujielectric.co.jp/products/plating/about | https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html	https://mekki.sfj.or.jp/ | https://fujielectric.co.jp/products/plating/about | https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html	mekki.sfj.or.jp | fujielectric.co.jp | ulvac-techno.co.jp	3	1	professional_body | vendor_first_party	0.80	out_of_scope		0	0								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-002	## 1. まず押さえる結論	fact	high	公開資料の範囲では、実務上の中心は外観処理だけではなく、防食、耐摩耗、導電、接触信頼性、はんだ付け性、拡散バリアといった機能付与です。需要先も自動車部品、機械部品、電気・電子部品、プリント基板、半導体周辺、建材、装飾部材まで広く、用途ごとに選ばれる方式と評価指標が大きく変わります。機材工 JCU 大阪府立産業技術総合研究所	inline citation context	https://kizaikou.or.jp/basic.html | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	https://kizaikou.or.jp/basic.html | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	kizaikou.or.jp | jcu-i.com | www2.orist.jp	3	1	industry_association | vendor_first_party | government_context	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees; vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-003	## 1. まず押さえる結論	temporal	high	選定で本当に効くのは、「何をめっきするか」だけではなく、「何の機能を出したいか」「形状的に均一膜厚が要るか」「どの規制がかかるか」「不良がどの段階で顕在化するか」の4点です。とくに 2024年4月1日施行の日本の六価クロム排水基準見直し、米国のクロムめっき排水・大気規制、EU の RoHS/REACH は、方式選定とライン運用の前提条件として切り離せません。環境省 大阪府 US EPA 排水 US EPA 大気 欧州委員会 RoHS ECHA Annex XVII	inline citation context	https://env.go.jp/water/impure/haisui.html | https://pref.osaka.lg.jp/o120080/jigyoshoshido/mizu/r6-4kaisei.html | https://epa.gov/eg/electroplating-effluent-guidelines | https://epa.gov/stationary-sources-air-pollution/chromium-electroplating-national-emission-standards-hazardous-air | https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en | https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	https://env.go.jp/water/impure/haisui.html | https://pref.osaka.lg.jp/o120080/jigyoshoshido/mizu/r6-4kaisei.html | https://epa.gov/eg/electroplating-effluent-guidelines | https://epa.gov/stationary-sources-air-pollution/chromium-electroplating-national-emission-standards-hazardous-air | https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en | https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	env.go.jp | pref.osaka.lg.jp | epa.gov | environment.ec.europa.eu | echa.europa.eu	6	6	official_regulator | legal_text	0.95	ok		2	1		2024-04-01	EU	hexavalent chromium		2024-04-01		standard	official, legal, standards, academic, or public-context support is present	
claim-004	## 2. 読み手が先に知るべき要点	advice	high	公開資料の範囲では、電気めっきは汎用性と量産性に優れますが、電流分布の影響で膜厚が形状依存になりやすく、深穴や凹部の均一性が課題です。無電解めっきは複雑形状や非導体への適用で優位ですが、薬液管理とコスト負荷が重くなりやすい傾向があります。富士電機 全国鍍金工業組合連合会 表面技術協会	inline citation context	https://fujielectric.co.jp/products/plating/about | https://zentoren.or.jp/mekki/hyoumenshori.html | https://sfj.or.jp/kaikoku/20220829Kansai.html	https://fujielectric.co.jp/products/plating/about | https://zentoren.or.jp/mekki/hyoumenshori.html | https://sfj.or.jp/kaikoku/20220829Kansai.html	fujielectric.co.jp | zentoren.or.jp | sfj.or.jp	3	1	vendor_first_party | industry_association | professional_body	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees; vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-005	## 2. 読み手が先に知るべき要点	advice	medium	代表例として、溶融亜鉛めっきは精密電子用途のめっきと同じ土俵で比較すると誤りやすい別系統の意思決定です。鋼構造物や屋外使用部材で、防食寿命と全浸漬性を重視する場面で使い分ける理解が安全です。日本溶融亜鉛鍍金協会 大阪府立産業技術総合研究所	inline citation context	https://aen-mekki.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	https://aen-mekki.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	aen-mekki.or.jp | www2.orist.jp	2	2	professional_body | government_context	0.95	ok		2	1			Japan					standard	official, legal, standards, academic, or public-context support is present	
claim-006	## 2. 読み手が先に知るべき要点	advice	medium	公開資料の範囲では、自動車と電子部品は今もめっきの中心需要先です。自動車では防食と摩擦係数、電子・半導体周辺では導電、接続、界面品質、熱履歴後の信頼性が重くなる整理が一般的です。機材工 JCU 経済産業省	inline citation context	https://kizaikou.or.jp/basic.html | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://meti.go.jp/policy/mono_info_service/mono/iron_and_steel/downloadfiles/kinzokusozai2.pdf	https://kizaikou.or.jp/basic.html | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://meti.go.jp/policy/mono_info_service/mono/iron_and_steel/downloadfiles/kinzokusozai2.pdf	kizaikou.or.jp | jcu-i.com | meti.go.jp	3	1	industry_association | vendor_first_party | government_context	0.95	ok		2	1			Japan					standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees; vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-007	## 2. 読み手が先に知るべき要点	advice	high	電子用途では、プリント基板、ビア形成、コネクタ、リードフレーム、半導体パッケージ基板まで、銅・ニッケル・金・銀・すず系の組合せが使い分けられます。品質問題は出荷時に顕在化しないこともあり、IPC は microvia-to-target plating failure の潜在化を警告しています。JCU IPC	inline citation context	https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	jcu-i.com | ipc.org	2	1	vendor_first_party | standards_body	0.85	ok		2	1				nickel	product use and exposure conditions			standard	official, legal, standards, academic, or public-context support is present	
claim-008	## 2. 読み手が先に知るべき要点	advice	medium	工程管理上は、前処理、浴組成、添加剤、不純物、洗浄、乾燥、検査の総合管理が重要で、薬品単価だけでは総コストを語れません。歩留まり、再処理率、停止頻度、分析自動化、廃液・排気処理が効いてきます。大阪府立産業技術総合研究所 表面技術協会 JCU	inline citation context	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf | https://sfj.or.jp/kaikoku/20220829Kansai.html | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf | https://sfj.or.jp/kaikoku/20220829Kansai.html | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf	www2.orist.jp | sfj.or.jp | jcu-i.com	3	2	government_context | professional_body | vendor_first_party	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-009	## 2. 読み手が先に知るべき要点	temporal	high	日本では、六価クロムの一般排水基準は 0.2 mg Cr(VI)/L で、2024年4月1日から電気めっき業の特定事業場には 0.5 mg/L の暫定基準が3年間適用されています。さらに 2024年2月5日には測定法も JIS K0102-3 ベースへ改められました。環境省 排水基準 大阪府 環境省 測定法改正	inline citation context	https://env.go.jp/water/impure/haisui.html | https://pref.osaka.lg.jp/o120080/jigyoshoshido/mizu/r6-4kaisei.html | https://env.go.jp/press/press_02720.html	https://env.go.jp/water/impure/haisui.html | https://pref.osaka.lg.jp/o120080/jigyoshoshido/mizu/r6-4kaisei.html | https://env.go.jp/press/press_02720.html	env.go.jp | pref.osaka.lg.jp	3	3	official_regulator | legal_text	0.95	ok		2	1		2024-02-05 | 2024-04-01	Japan	hexavalent chromium		2024-02-05	3 years	standard	official, legal, standards, academic, or public-context support is present	
claim-010	## 2. 読み手が先に知るべき要点	regulatory	high	労働安全は個別規則だけでなく、自律的管理への移行が進んでいます。六価クロムは OSHA でも PEL 5 µg/m3、アクションレベル 2.5 µg/m3 という明確な基準があり、ばく露測定と是正が中心論点です。厚生労働省 OSHA NIEHS	inline citation context	https://mhlw.go.jp/stf/seisakunitsuite/bunya/0000099121_00005.html | https://osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026 | https://niehs.nih.gov/health/topics/agents/hex-chromium	https://mhlw.go.jp/stf/seisakunitsuite/bunya/0000099121_00005.html | https://osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026 | https://niehs.nih.gov/health/topics/agents/hex-chromium	mhlw.go.jp | osha.gov | niehs.nih.gov	3	3	official_regulator | legal_text | government_context	0.95	ok		2	1			Japan	hexavalent chromium				standard	official, legal, standards, academic, or public-context support is present	
