rank_hint	score_hint	source_flags	dup_count	query_count	domain	title	canonical_url	queries	original_urls	sample_snippet	published_at
1	11	preferred-domain,institutional-domain,official-looking-path	1	1	env.go.jp	環境省 2022-04-01 告示	https://env.go.jp/press/110052.html	六価クロム 環境基準 2022 環境省	https://www.env.go.jp/press/110052.html	公共用水域の六価クロム環境基準改正。	2022-04-01
2	11	preferred-domain,institutional-domain,official-looking-path	1	1	env.go.jp	環境省 2024-02-05 公布	https://env.go.jp/press/press_02720.html	JIS K0102-3 六価クロム 2024 環境省	https://www.env.go.jp/press/press_02720.html	六価クロム測定法見直し。	2024-02-05
3	11	preferred-domain,institutional-domain,official-looking-path	1	1	env.go.jp	環境省 2024-12-11 暫定基準延長	https://env.go.jp/press/press_03960.html	暫定排水基準 電気めっき 2024 環境省	https://www.env.go.jp/press/press_03960.html	亜鉛の電気めっき業の暫定排水基準延長。	2024-12-11
4	11	preferred-domain,institutional-domain,pdf	1	1	meti.go.jp	METI	https://meti.go.jp/policy/chemical_management/kasinhou/files/information/ra/use_category_002.pdf	METI めっき 用途分類 PDF	https://www.meti.go.jp/policy/chemical_management/kasinhou/files/information/ra/use_category_002.pdf	用途分類としてのめっき・表面処理。	
5	11	preferred-domain,institutional-domain,pdf	1	1	meti.go.jp	METI PRTR 手引き	https://meti.go.jp/policy/chemical_management/law/prtr/pdf/r5_haishutsu_sanshutsu_manual/3-1.pdf	METI PRTR めっき 手引き	https://www.meti.go.jp/policy/chemical_management/law/prtr/pdf/r5_haishutsu_sanshutsu_manual/3-1.pdf	PRTR 集計時のめっき工程の扱い。	
6	11	preferred-domain,institutional-domain,official-looking-path	1	1	osha.gov	OSHA 29 CFR 1910.1026	https://osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026	OSHA chromium VI 1910.1026	https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026	Chromium(VI) standard, PEL, action level, exposure control.	
7	9	preferred-domain,institutional-domain	1	1	env.go.jp	環境省 一般排水基準	https://env.go.jp/water/impure/haisui.html	六価クロム 一般排水基準 環境省	https://www.env.go.jp/water/impure/haisui.html	一般排水基準の一覧。	
8	9	preferred-domain,institutional-domain	1	1	epa.gov	EPA Chromium Finishing Questionnaire	https://epa.gov/eg/chromium-finishing-questionnaire	EPA chromium finishing questionnaire PFAS	https://www.epa.gov/eg/chromium-finishing-questionnaire	chrome finishing facilities 向け質問票。	
9	9	preferred-domain,institutional-domain	1	1	epa.gov	EPA Electroplating Effluent Guidelines	https://epa.gov/eg/electroplating-effluent-guidelines	EPA electroplating effluent guidelines	https://www.epa.gov/eg/electroplating-effluent-guidelines	40 CFR Part 413/433 の概要。	
10	9	preferred-domain,institutional-domain	1	1	mlit.go.jp	国交省 除害施設	https://mlit.go.jp/mizukokudo/sewerage/mizukokudo_sewerage_tk_000637.html	下水道 除害施設 六価クロム 国交省	https://www.mlit.go.jp/mizukokudo/sewerage/mizukokudo_sewerage_tk_000637.html	下水道への排除基準と除害施設の考え方。	
11	8	preferred-domain,pdf	1	1	home.jeita.or.jp	JEITA 信頼性評価ガイド	https://home.jeita.or.jp/page_file/20200526181633_4fCp1lxIJG.pdf	JEITA 信頼性評価 ガイド	https://home.jeita.or.jp/page_file/20200526181633_4fCp1lxIJG.pdf	電子部品の信頼性評価で確認する観点。	
12	8	preferred-domain,pdf	1	1	ipc.org	IPC-4552	https://ipc.org/TOC/IPC-4552wAm-1-2.pdf	IPC 4552 ENIG	https://www.ipc.org/TOC/IPC-4552wAm-1-2.pdf	ENIG の要求事項、膜厚、品質評価。	
13	8	preferred-domain,official-looking-path	1	1	jisf.or.jp	JFS	https://jisf.or.jp/business/standard/jfs	JFS 自動車 防錆 規格	https://www.jisf.or.jp/business/standard/jfs/	自動車向け防錆鋼板規格の紹介。	
14	8	preferred-domain,pdf	1	1	www2.orist.jp	防錆・防食のための めっきの基礎知識	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	めっき 防食 基礎 ORIST PDF	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	防食めっき、膜厚、防錆挙動の基礎。	
15	6	preferred-domain	1	1	echa.europa.eu	ECHA Annex XVII conditions	https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	ECHA Annex XVII nickel release	https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	nickel release 条件と制限。	
16	6	preferred-domain	1	1	environment.ec.europa.eu	European Commission RoHS Directive	https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en	RoHS directive official EU	https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en	RoHS の official overview。	
17	6	preferred-domain	1	1	home.jeita.or.jp	JEITA 電子部品部会	https://home.jeita.or.jp/ecb/about/part.html	JEITA 電子部品 部会	https://home.jeita.or.jp/ecb/about/part.html	電子部品分野の対象範囲と構成。	
