source_url	domain	citation_instances	sections	leaf_sections	section_citation_counts	is_primary	source_role	title	source_flags
https://ipc.org/TOC/IPC-4552wAm-1-2.pdf	ipc.org	16	1. 要約 | 2. 主要な発見 | 3. 主要な根拠と出典 | 4. 論点別の分析 | 5. 判断のために確認すべきことと追加調査	## 1. 要約 | ## 2. 主要な発見 | ## 3. 主要な根拠と出典 | ### 4.2 用途別・産業別に何が違うか | ### 4.3 工程・設備・外注先を見るポイント | ### 4.6 実務判断に効くコストと品質の勘所 | ### 4.7 見落とすと危険なドメイン固有リスク | ### 5.1 実務チェックリスト | ### 5.2 追加で確認したい主張と調査の向き | ### 5.3 不確実性と追加調査	"{""## 1. 要約"":2,""## 2. 主要な発見"":2,""## 3. 主要な根拠と出典"":1,""### 4.2 用途別・産業別に何が違うか"":2,""### 4.3 工程・設備・外注先を見るポイント"":1,""### 4.6 実務判断に効くコストと品質の勘所"":1,""### 4.7 見落とすと危険なドメイン固有リスク"":1,""### 5.1 実務チェックリスト"":2,""### 5.2 追加で確認したい主張と調査の向き"":2,""### 5.3 不確実性と追加調査"":2}"	true	standards_body	IPC-4552	preferred-domain,pdf
https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	www2.orist.jp	15	1. 要約 | 3. 主要な根拠と出典 | 4. 論点別の分析 | 5. 判断のために確認すべきことと追加調査	## 1. 要約 | ## 3. 主要な根拠と出典 | ### 4.1 方式ごとの比較ポイント | ### 4.2 用途別・産業別に何が違うか | ### 4.3 工程・設備・外注先を見るポイント | ### 4.4 誤解しやすい点と例外 | ### 4.6 実務判断に効くコストと品質の勘所 | ### 4.7 見落とすと危険なドメイン固有リスク | ### 5.1 実務チェックリスト	"{""## 1. 要約"":2,""## 3. 主要な根拠と出典"":2,""### 4.1 方式ごとの比較ポイント"":2,""### 4.2 用途別・産業別に何が違うか"":3,""### 4.3 工程・設備・外注先を見るポイント"":1,""### 4.4 誤解しやすい点と例外"":1,""### 4.6 実務判断に効くコストと品質の勘所"":1,""### 4.7 見落とすと危険なドメイン固有リスク"":1,""### 5.1 実務チェックリスト"":2}"	true	government_context	防錆・防食のための めっきの基礎知識	preferred-domain,pdf
https://astm.org/membership-participation/technical-committees/committee-b08/scope-b08	astm.org	13	1. 要約 | 2. 主要な発見 | 3. 主要な根拠と出典 | 4. 論点別の分析 | 5. 判断のために確認すべきことと追加調査	## 1. 要約 | ## 2. 主要な発見 | ## 3. 主要な根拠と出典 | ### 4.1 方式ごとの比較ポイント | ### 4.3 工程・設備・外注先を見るポイント | ### 5.1 実務チェックリスト | ### 5.2 追加で確認したい主張と調査の向き | ### 5.3 不確実性と追加調査	"{""## 1. 要約"":3,""## 2. 主要な発見"":1,""## 3. 主要な根拠と出典"":2,""### 4.1 方式ごとの比較ポイント"":3,""### 4.3 工程・設備・外注先を見るポイント"":1,""### 5.1 実務チェックリスト"":1,""### 5.2 追加で確認したい主張と調査の向き"":1,""### 5.3 不確実性と追加調査"":1}"	true	standards_body	ASTM Committee B08 Scope	neutral
https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf	jcu-i.com	10	2. 主要な発見 | 3. 主要な根拠と出典 | 4. 論点別の分析 | 5. 判断のために確認すべきことと追加調査	## 2. 主要な発見 | ## 3. 主要な根拠と出典 | ### 4.2 用途別・産業別に何が違うか | ### 4.3 工程・設備・外注先を見るポイント | ### 4.6 実務判断に効くコストと品質の勘所 | ### 4.7 見落とすと危険なドメイン固有リスク | ### 5.1 実務チェックリスト	"{""## 2. 主要な発見"":2,""## 3. 主要な根拠と出典"":1,""### 4.2 用途別・産業別に何が違うか"":1,""### 4.3 工程・設備・外注先を見るポイント"":1,""### 4.6 実務判断に効くコストと品質の勘所"":1,""### 4.7 見落とすと危険なドメイン固有リスク"":2,""### 5.1 実務チェックリスト"":2}"	false	vendor_first_party	表面処理技術から未来を創造する	pdf
https://env.go.jp/water/impure/haisui.html	env.go.jp	8	1. 要約 | 2. 主要な発見 | 3. 主要な根拠と出典 | 4. 論点別の分析 | 5. 判断のために確認すべきことと追加調査	## 1. 要約 | ## 2. 主要な発見 | ## 3. 主要な根拠と出典 | ### 4.3 工程・設備・外注先を見るポイント | ### 4.4 誤解しやすい点と例外 | ### 4.7 見落とすと危険なドメイン固有リスク | ### 5.1 実務チェックリスト | ### 5.2 追加で確認したい主張と調査の向き	"{""## 1. 要約"":1,""## 2. 主要な発見"":1,""## 3. 主要な根拠と出典"":1,""### 4.3 工程・設備・外注先を見るポイント"":1,""### 4.4 誤解しやすい点と例外"":1,""### 4.7 見落とすと危険なドメイン固有リスク"":1,""### 5.1 実務チェックリスト"":1,""### 5.2 追加で確認したい主張と調査の向き"":1}"	true	official_regulator	環境省 一般排水基準	preferred-domain,institutional-domain
https://mekki.sfj.or.jp/	mekki.sfj.or.jp	8	1. 要約 | 3. 主要な根拠と出典 | 4. 論点別の分析 | 5. 判断のために確認すべきことと追加調査	## 1. 要約 | ## 3. 主要な根拠と出典 | ### 4.1 方式ごとの比較ポイント | ### 4.2 用途別・産業別に何が違うか | ### 4.3 工程・設備・外注先を見るポイント | ### 4.4 誤解しやすい点と例外 | ### 5.3 不確実性と追加調査	"{""## 1. 要約"":1,""## 3. 主要な根拠と出典"":1,""### 4.1 方式ごとの比較ポイント"":1,""### 4.2 用途別・産業別に何が違うか"":2,""### 4.3 工程・設備・外注先を見るポイント"":1,""### 4.4 誤解しやすい点と例外"":1,""### 5.3 不確実性と追加調査"":1}"	true	professional_body	めっき部会｜表面技術協会	preferred-domain
https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	echa.europa.eu	7	1. 要約 | 2. 主要な発見 | 3. 主要な根拠と出典 | 4. 論点別の分析 | 5. 判断のために確認すべきことと追加調査	## 1. 要約 | ## 2. 主要な発見 | ## 3. 主要な根拠と出典 | ### 4.4 誤解しやすい点と例外 | ### 4.5 いま変わっている制度・市場・技術 | ### 4.7 見落とすと危険なドメイン固有リスク | ### 5.1 実務チェックリスト	"{""## 1. 要約"":1,""## 2. 主要な発見"":1,""## 3. 主要な根拠と出典"":1,""### 4.4 誤解しやすい点と例外"":1,""### 4.5 いま変わっている制度・市場・技術"":1,""### 4.7 見落とすと危険なドメイン固有リスク"":1,""### 5.1 実務チェックリスト"":1}"	true	legal_text	ECHA Annex XVII conditions	preferred-domain
https://electronics.org/news-release/ipc-releases-ipc-6012f-qualification-and-performance-specification-rigid-printed	electronics.org	7	2. 主要な発見 | 3. 主要な根拠と出典 | 4. 論点別の分析 | 5. 判断のために確認すべきことと追加調査	## 2. 主要な発見 | ## 3. 主要な根拠と出典 | ### 4.2 用途別・産業別に何が違うか | ### 4.4 誤解しやすい点と例外 | ### 4.6 実務判断に効くコストと品質の勘所 | ### 4.7 見落とすと危険なドメイン固有リスク | ### 5.1 実務チェックリスト	"{""## 2. 主要な発見"":1,""## 3. 主要な根拠と出典"":1,""### 4.2 用途別・産業別に何が違うか"":1,""### 4.4 誤解しやすい点と例外"":1,""### 4.6 実務判断に効くコストと品質の勘所"":1,""### 4.7 見落とすと危険なドメイン固有リスク"":1,""### 5.1 実務チェックリスト"":1}"	true	standard_or_code	IPC-6012F release	neutral
https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	ipc.org	7	1. 要約 | 2. 主要な発見 | 3. 主要な根拠と出典 | 4. 論点別の分析	## 1. 要約 | ## 2. 主要な発見 | ## 3. 主要な根拠と出典 | ### 4.2 用途別・産業別に何が違うか | ### 4.3 工程・設備・外注先を見るポイント | ### 4.4 誤解しやすい点と例外 | ### 4.7 見落とすと危険なドメイン固有リスク	"{""## 1. 要約"":1,""## 2. 主要な発見"":1,""## 3. 主要な根拠と出典"":1,""### 4.2 用途別・産業別に何が違うか"":1,""### 4.3 工程・設備・外注先を見るポイント"":1,""### 4.4 誤解しやすい点と例外"":1,""### 4.7 見落とすと危険なドメイン固有リスク"":1}"	true	standards_body	IPC issues electronics industry warning on microvia reliability	preferred-domain
https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en	environment.ec.europa.eu	6	1. 要約 | 2. 主要な発見 | 3. 主要な根拠と出典 | 4. 論点別の分析	## 1. 要約 | ## 2. 主要な発見 | ## 3. 主要な根拠と出典 | ### 4.4 誤解しやすい点と例外 | ### 4.5 いま変わっている制度・市場・技術 | ### 4.7 見落とすと危険なドメイン固有リスク	"{""## 1. 要約"":1,""## 2. 主要な発見"":1,""## 3. 主要な根拠と出典"":1,""### 4.4 誤解しやすい点と例外"":1,""### 4.5 いま変わっている制度・市場・技術"":1,""### 4.7 見落とすと危険なドメイン固有リスク"":1}"	true	legal_text	European Commission RoHS Directive	preferred-domain
